Country,1994-1996,1997-1999,2000-2002,2003-2005,2006-2008,2009-2010,2011-2012,2013-2014,2015-2016,2017-2018,2019-2020,2021-2022
Timor-Leste,,0.0,,,,,,,,,,
Ecuador,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Congo,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,
Cambodia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mexico,0.0,0.0,0.0,0.33,4.33,7.5,11.5,13.0,13.0,14.0,14.0,15.0
Montenegro,,,,0.0,,,,,0.0,,,
Cameroon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kuwait,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Senegal,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colombia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lithuania,,,,,,,,,,,,
Slovakia,,,,,,,,,,0.0,,
Morocco,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Bolivia, Plurinational State of",,,0.0,0.0,0.0,0.0,0.0,,,,,
Jordan,,,,,,,,0.0,0.0,0.0,0.0,0.0
Tajikistan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tunisia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Bahrain,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kenya,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Madagascar,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
Viet Nam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
India,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liberia,,,,,,,,,,,0.0,
Guinea,,,,,,,,0.0,0.0,,,
Burkina Faso,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Saudi Arabia,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ghana,,,,,,,,,0.0,0.0,0.0,
Malta,,,,,,,,,,0.0,,
Algeria,1.67,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
"Moldova, Republic of",,,,,,0.0,,,,,,
